Ticker,RSI,rsi_score,macd_score,bb_score,total_score,final_signal
ADANIPORTS.NS,52.69,0,1,0,1,WEAK BUY 🔵
AXISBANK.NS,54.17,0,1,0,1,WEAK BUY 🔵
COALINDIA.NS,67.38,0,1,0,1,WEAK BUY 🔵
BAJAJFINSV.NS,28.41,1,-1,1,1,WEAK BUY 🔵
RELIANCE.NS,51.48,0,1,0,1,WEAK BUY 🔵
SBIN.NS,24.74,1,-1,1,1,WEAK BUY 🔵
KOTAKBANK.NS,66.4,0,1,0,1,WEAK BUY 🔵
NTPC.NS,43.02,0,1,0,1,WEAK BUY 🔵
WIPRO.NS,29.97,1,-1,1,1,WEAK BUY 🔵
TATASTEEL.NS,48.97,0,1,0,1,WEAK BUY 🔵
ONGC.NS,40.25,0,1,0,1,WEAK BUY 🔵
POWERGRID.NS,46.87,0,1,0,1,WEAK BUY 🔵
INFY.NS,29.96,1,-1,1,1,WEAK BUY 🔵
HDFCBANK.NS,39.06,0,1,0,1,WEAK BUY 🔵
EICHERMOT.NS,26.74,1,-1,0,0,NEUTRAL ⚪
SHRIRAMFIN.NS,27.51,1,-1,0,0,NEUTRAL ⚪
BRITANNIA.NS,16.8,1,-1,0,0,NEUTRAL ⚪
ASIANPAINT.NS,22.97,1,-1,0,0,NEUTRAL ⚪
TRENT.NS,28.58,1,-1,0,0,NEUTRAL ⚪
ULTRACEMCO.NS,28.7,1,-1,0,0,NEUTRAL ⚪
HEROMOTOCO.NS,26.14,1,-1,0,0,NEUTRAL ⚪
TATACONSUM.NS,29.93,1,-1,0,0,NEUTRAL ⚪
MARUTI.NS,22.65,1,-1,0,0,NEUTRAL ⚪
M&M.NS,20.83,1,-1,0,0,NEUTRAL ⚪
NESTLEIND.NS,27.54,1,-1,0,0,NEUTRAL ⚪
DRREDDY.NS,31.31,0,-1,0,-1,WEAK SELL 🟡
APOLLOHOSP.NS,49.96,0,-1,0,-1,WEAK SELL 🟡
BAJAJ-AUTO.NS,45.27,0,-1,0,-1,WEAK SELL 🟡
ADANIENT.NS,45.57,0,-1,0,-1,WEAK SELL 🟡
DIVISLAB.NS,67.79,0,-1,0,-1,WEAK SELL 🟡
CIPLA.NS,38.12,0,-1,0,-1,WEAK SELL 🟡
BAJFINANCE.NS,40.37,0,-1,0,-1,WEAK SELL 🟡
BEL.NS,40.45,0,-1,0,-1,WEAK SELL 🟡
BHARTIARTL.NS,40.36,0,-1,0,-1,WEAK SELL 🟡
HCLTECH.NS,35.58,0,-1,0,-1,WEAK SELL 🟡
GRASIM.NS,51.58,0,-1,0,-1,WEAK SELL 🟡
LTM.NS,38.03,0,-1,0,-1,WEAK SELL 🟡
HDFCLIFE.NS,39.64,0,-1,0,-1,WEAK SELL 🟡
HINDALCO.NS,32.19,0,-1,0,-1,WEAK SELL 🟡
HINDUNILVR.NS,30.95,0,-1,0,-1,WEAK SELL 🟡
ICICIBANK.NS,49.92,0,-1,0,-1,WEAK SELL 🟡
INDUSINDBK.NS,46.19,0,-1,0,-1,WEAK SELL 🟡
JSWSTEEL.NS,45.35,0,-1,0,-1,WEAK SELL 🟡
ITC.NS,40.41,0,-1,0,-1,WEAK SELL 🟡
SUNPHARMA.NS,39.76,0,-1,0,-1,WEAK SELL 🟡
SBILIFE.NS,39.91,0,-1,0,-1,WEAK SELL 🟡
TITAN.NS,37.92,0,-1,0,-1,WEAK SELL 🟡
TECHM.NS,32.57,0,-1,0,-1,WEAK SELL 🟡
TCS.NS,36.75,0,-1,0,-1,WEAK SELL 🟡
TMCV.NS,45.15,0,-1,0,-1,WEAK SELL 🟡
