Ticker,Company,Sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,TCS,IT
HDFCBANK.NS,HDFC Bank,Banking
INFY.NS,Infosys,IT
ICICIBANK.NS,ICICI Bank,Banking
HINDUNILVR.NS,Hindustan Unilever,FMCG
ITC.NS,ITC,FMCG
SBIN.NS,State Bank of India,Banking
BAJFINANCE.NS,Bajaj Finance,Finance
BHARTIARTL.NS,Bharti Airtel,Telecom
KOTAKBANK.NS,Kotak Mahindra Bank,Banking
ASIANPAINT.NS,Asian Paints,Consumer
AXISBANK.NS,Axis Bank,Banking
MARUTI.NS,Maruti Suzuki,Auto
SUNPHARMA.NS,Sun Pharma,Pharma
WIPRO.NS,Wipro,IT
TITAN.NS,Titan Company,Consumer
NESTLEIND.NS,Nestlé India,FMCG
HCLTECH.NS,HCL Technologies,IT
TMCV.NS,Tata Motors,Auto
M&M.NS,Mahindra & Mahindra,Auto
NTPC.NS,NTPC,Energy
POWERGRID.NS,Power Grid Corp,Energy
TATASTEEL.NS,Tata Steel,Metals
ADANIPORTS.NS,Adani Ports,Infrastructure
ADANIENT.NS,Adani Enterprises,Conglomerate
JSWSTEEL.NS,JSW Steel,Metals
COALINDIA.NS,Coal India,Energy
ONGC.NS,ONGC,Energy
BAJAJ-AUTO.NS,Bajaj Auto,Auto
TECHM.NS,Tech Mahindra,IT
ULTRACEMCO.NS,UltraTech Cement,Cement
GRASIM.NS,Grasim Industries,Conglomerate
HINDALCO.NS,Hindalco Industries,Metals
CIPLA.NS,Cipla,Pharma
EICHERMOT.NS,Eicher Motors,Auto
HEROMOTOCO.NS,Hero MotoCorp,Auto
DRREDDY.NS,Dr. Reddy's Labs,Pharma
DIVISLAB.NS,Divi's Laboratories,Pharma
BAJAJFINSV.NS,Bajaj Finserv,Finance
TATACONSUM.NS,Tata Consumer Products,FMCG
APOLLOHOSP.NS,Apollo Hospitals,Healthcare
SBILIFE.NS,SBI Life Insurance,Insurance
HDFCLIFE.NS,HDFC Life Insurance,Insurance
BRITANNIA.NS,Britannia Industries,FMCG
SHRIRAMFIN.NS,Shriram Finance,Finance
INDUSINDBK.NS,IndusInd Bank,Banking
LTM.NS,LTIMindtree,IT
BEL.NS,BEL,Defence
TRENT.NS,Trent,Retail
